,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000,unempr,grp,rGDP,pref2,suicide,death_rate,liver_disease,liver_disease_m,liver_disease_f,liver_disease_rate,year,loony,suicide_per_1000,loony_per_1000,liver_disease_1000,log_adult_population_per_1000,log_suicide_per_1000,log_loony_per_1000,liver_disease_per_1000,log_liver_disease_per_1000,log_cons_per_1000,log_loony_per_1000FE,rGDPFE,log_cons_per_1000FE,log_liver_disease_per_1000FE,burdenFE,log_adult_population,log_adult_populationFE,log_suicide_per_1000FE,pref_id
166,奈良,奈  良,0.35701653,5605.445,23,1143,4.904151356,4.475,3741920,0.4,奈  良,245,18,71,49,22,5,24,0.9,0.214348206,0.000787402,0.062117235,7.041411664,-1.540153453,-7.146772179,0.062117235,-2.778731787,8.497837341,0.149567498,-0.413333333,-0.114034501,0.099154564,-0.012892039,7.041411664,-0.000796783,-0.072560982,28
167,和歌山,和歌山,0.359681611,4720.14,23,822,5.742262774,3.85,3679374,0.4,和歌山,180,18,72,47,25,7,24,0.8,0.218978102,0.000973236,0.087591241,6.711740395,-1.518783544,-6.934883946,0.087591241,-2.435074276,8.655608623,0.227097508,-0.413333333,-0.158471281,0.101472126,-0.014391672,6.711740395,-0.013749157,-0.283365907,29
168,鳥取,鳥  取,0.352057282,3273.51,23,481,6.805634096,3.75,1971785,0.4,鳥  取,121,21,45,38,7,8,24,0.6,0.251559252,0.001247401,0.093555094,6.17586727,-1.380076725,-6.686692894,0.093555094,-2.36920478,8.825506092,-0.059955233,-0.413333333,-0.084291305,0.244359533,-0.013864992,6.17586727,-0.007104959,-0.136948466,30
169,島根,島  根,0.347822085,4007.075,23,585,6.849700855,2.725,2572839,0.4,島  根,160,23,61,43,18,9,24,0.8,0.273504274,0.001367521,0.104273504,6.371611847,-1.296438032,-6.594755399,0.104273504,-2.260737983,8.831960259,0.012178333,-0.413333333,-0.115155142,0.200082466,-0.014073444,6.371611847,-0.020659023,-0.207565927,31
170,岡山,岡  山,0.354405562,8899.69,23,1582,5.625594185,3.65,7899075,0.4,岡  山,360,19,110,81,29,6,24,2.4,0.227560051,0.001517067,0.069532238,7.366445148,-1.480341117,-6.490976411,0.069532238,-2.665964783,8.635081854,0.455683411,-0.413333333,-0.10928948,-0.02851248,-0.013197859,7.366445148,0.00671947,-0.062593724,32
171,広島,広  島,0.361519053,15359.38,23,2332,6.58635506,3.525,11875687,0.4,広  島,579,21,162,121,41,6,24,2.1,0.248284734,0.000900515,0.069468268,7.754481547,-1.39317907,-7.012544203,0.069468268,-2.666885212,8.792755373,-0.141335398,-0.413333333,-0.118611215,0.016805038,-0.01346343,7.754481547,0.005011755,-0.051122995,33
172,山口,山  口,0.361439063,7595.855,23,1191,6.377712007,3.4,6099794,0.4,山  口,331,23,96,75,21,7,24,1,0.277917716,0.000839631,0.080604534,7.082548569,-1.280430194,-7.082548569,0.080604534,-2.518200378,8.760564692,-0.166390069,-0.413333333,-0.118013028,0.072808115,-0.013814262,7.082548569,-0.015533762,-0.035676981,34
173,徳島,徳  島,0.359273732,3688.27,23,646,5.709396285,4.175,3074798,0.4,徳  島,147,19,54,43,11,7,24,0.9,0.22755418,0.001393189,0.083591331,6.470799504,-1.480366917,-6.576160019,0.083591331,-2.481815457,8.649868568,0.210360351,-0.413333333,-0.083618641,0.012474206,-0.014371643,6.470799504,-0.012533714,-0.04816992,35
174,香川,香  川,0.360131996,4559.705,23,815,5.594730061,3.65,3941408,0.4,香  川,172,18,71,47,24,7,24,0.7,0.211042945,0.000858896,0.087116564,6.703188113,-1.555693636,-7.059863057,0.087116564,-2.440508236,8.629580373,0.099551814,-0.413333333,-0.124945239,0.215553876,-0.013833729,6.703188113,-0.003008333,-0.147824944,36
175,愛媛,愛  媛,0.363573313,7086.04,23,1173,6.040954817,4.075,5362568,0.4,愛  媛,290,21,96,61,35,7,24,1.2,0.247229327,0.001023018,0.081841432,7.067319849,-1.397438926,-6.884998292,0.081841432,-2.502971657,8.706317361,0.046477972,-0.413333333,-0.106690875,0.09476703,-0.014697156,7.067319849,-0.009824119,-0.136243987,37
176,高知,高  知,0.364689133,4537.515,23,632,7.179612342,4.15,2293692,0.4,高  知,194,26,64,48,16,9,24,0.7,0.306962025,0.001107595,0.101265823,6.448889394,-1.181031235,-6.805564338,0.101265823,-2.290006311,8.879000669,0.0049206,-0.413333333,-0.146637244,0.072979732,-0.014573815,6.448889394,-0.019222613,-0.02123935,38
177,福岡,福  岡,0.363552938,27658.395,23,4141,6.679158416,5.475,18681392,0.4,福  岡,1119,22,308,244,64,6,24,8,0.270224583,0.001931901,0.07437817,8.328692584,-1.308501875,-6.249251042,0.07437817,-2.598592801,8.806747273,0.36617867,-0.413333333,-0.112842449,0.006538414,-0.013427182,8.328692584,0.014590807,-0.070291855,39
178,佐賀,佐  賀,0.354858113,4281.015,23,679,6.30488218,4.05,2878484,0.4,佐  賀,176,21,49,37,12,6,24,0.8,0.259204713,0.001178203,0.072164948,6.520621128,-1.350137133,-6.743764679,0.072164948,-2.628800829,8.749079561,0.098296967,-0.413333333,-0.114026242,-0.038414953,-0.014081988,6.520621128,-0.002727671,-0.096907485,40
179,長崎,長  崎,0.363380971,7410.265,23,1153,6.426942758,4.525,4673200,0.4,長  崎,248,18,93,63,30,7,24,1.8,0.215091067,0.001561145,0.08065915,7.05012252,-1.536693774,-6.462335855,0.08065915,-2.517523027,8.768254239,0.212114275,-0.413333333,-0.121679448,0.046874226,-0.013909643,7.05012252,-0.014980244,-0.293075424,41
180,熊本,熊  本,0.369654062,9805.71,23,1472,6.661487772,4.525,5997718,0.4,熊  本,428,24,110,78,32,6,24,2.6,0.29076087,0.001766304,0.074728261,7.294377299,-1.235254104,-6.338865854,0.074728261,-2.593896933,8.804098128,0.441244322,-0.413333333,-0.134519237,0.063848421,-0.013860578,7.294377299,0.001822985,-0.00688883,42
181,大分,大  分,0.361946709,7028.395,23,977,7.193853634,4.025,4631790,0.4,大  分,261,22,79,55,24,7,24,1,0.267144319,0.001023541,0.080859775,6.884486652,-1.319966245,-6.884486652,0.080859775,-2.5150388,8.880982278,0.023495898,-0.413333333,-0.105788632,0.182755183,-0.013573106,6.884486652,0.000217055,-0.038102153,43
182,宮崎,宮  崎,0.36403897,8322.47,23,917,9.075757906,4.125,3729792,0.4,宮  崎,277,25,77,54,23,7,24,1.8,0.302071974,0.001962923,0.083969466,6.821107472,-1.197089966,-6.233320807,0.083969466,-2.47730205,9.113362171,0.634348608,-0.413333333,-0.100893734,0.063607273,-0.01292165,6.821107472,-0.00019808,-0.156343115,44
